participant,item,mass,answer,group,lang,native,Frequent,LIKERT,MINT,,,,NIVEL
20,caries,nm,1,L2SP,SP,0,nf,5,37,,,,
20,peines,nm,1,L2SP,SP,0,nf,2,37,,,,
20,fuentes,nm,1,L2SP,SP,0,nf,2,37,,,,
20,sobres,nm,1,L2SP,SP,0,nf,4,37,,,,
20,leches ,m,1,L2SP,SP,0,f,5,37,,,,
20,nubes,nm,1,L2SP,SP,0,nf,2,37,,,,
20,muertes ,m,1,L2SP,SP,0,f,6,37,,,,
20,arboles,nm,1,L2SP,SP,0,f,5,37,,,,
20,buzones,nm,1,L2SP,SP,0,nf,4,37,,,,
20,calles,nm,1,L2SP,SP,0,f,5,37,,,,
20,carnes ,m,1,L2SP,SP,0,nf,2,37,,,,
20,clases,nm,1,L2SP,SP,0,f,5,37,,,,
21,lapices,nm,0,L2SP,SP,0,f,5,17,,,,B
21,jardines,nm,0,L2SP,SP,0,nf,1,17,,,,
21,coches,nm,0,L2SP,SP,0,f,5,17,,,,
21,paises,nm,0,L2SP,SP,0,f,9,17,,,,
21,caries,nm,0,L2SP,SP,0,nf,2,17,,,,
21,peines,nm,0,L2SP,SP,0,nf,1,17,,,,
21,fuentes,nm,0,L2SP,SP,0,nf,1,17,,,,
21,sobres,nm,0,L2SP,SP,0,nf,2,17,,,,
21,leches ,m,0,L2SP,SP,0,f,5,17,,,,
21,nubes,nm,0,L2SP,SP,0,nf,1,17,,,,
21,muertes ,m,0,L2SP,SP,0,f,5,17,,,,
21,arboles,nm,0,L2SP,SP,0,f,6,17,,,,
21,buzones,nm,0,L2SP,SP,0,nf,1,17,,,,
21,calles,nm,0,L2SP,SP,0,f,5,17,,,,
21,carnes ,m,0,L2SP,SP,0,nf,1,17,,,,
21,clases,nm,0,L2SP,SP,0,f,8,17,,,,
22,lapices,nm,1,L2SP,SP,0,f,5,13,,,,B
22,jardines,nm,1,L2SP,SP,0,nf,1,13,,,,
22,coches,nm,1,L2SP,SP,0,f,4,13,,,,
22,paises,nm,1,L2SP,SP,0,f,9,13,,,,
22,caries,nm,0,L2SP,SP,0,nf,2,13,,,,
22,peines,nm,1,L2SP,SP,0,nf,1,13,,,,
22,fuentes,nm,0,L2SP,SP,0,nf,1,13,,,,
22,sobres,nm,1,L2SP,SP,0,nf,2,13,,,,
22,leches ,m,0,L2SP,SP,0,f,5,13,,,,
22,nubes,nm,0,L2SP,SP,0,nf,1,13,,,,
22,muertes ,m,0,L2SP,SP,0,f,5,13,,,,
22,arboles,nm,1,L2SP,SP,0,f,6,13,,,,
22,buzones,nm,0,L2SP,SP,0,nf,1,13,,,,
22,calles,nm,1,L2SP,SP,0,f,5,13,,,,
22,carnes ,m,0,L2SP,SP,0,nf,1,13,,,,
22,clases,nm,1,L2SP,SP,0,f,8,13,,,,
23,lapices,nm,0,L2SP,SP,0,f,6,16,,,,B
23,jardines,nm,1,L2SP,SP,0,nf,1,16,,,,
23,coches,nm,1,L2SP,SP,0,f,8,16,,,,
23,paises,nm,0,L2SP,SP,0,f,6,16,,,,
23,caries,nm,0,L2SP,SP,0,nf,1,16,,,,
23,peines,nm,1,L2SP,SP,0,nf,1,16,,,,
23,fuentes,nm,1,L2SP,SP,0,nf,1,16,,,,
23,sobres,nm,1,L2SP,SP,0,nf,1,16,,,,
23,leches ,m,0,L2SP,SP,0,f,3,16,,,,
