participant,item,answer,group,lang,native,Frequent,LIKERT,MINT
19,arboles,1,L2SP,SP,0,f,4,40
19,buzones,1,L2SP,SP,0,nf,4,40
19,calles,1,L2SP,SP,0,f,6,40
19,carnes ,1,L2SP,SP,0,nf,4,40
19,clases,1,L2SP,SP,0,f,4,40
20,lapices,1,L2SP,SP,0,f,5,37
20,jardines,1,L2SP,SP,0,nf,2,37
20,coches,1,L2SP,SP,0,f,7,37
20,paises,1,L2SP,SP,0,f,5,37
20,caries,1,L2SP,SP,0,nf,5,37
20,peines,1,L2SP,SP,0,nf,2,37
20,fuentes,1,L2SP,SP,0,nf,2,37
20,sobres,1,L2SP,SP,0,nf,4,37
20,leches ,1,L2SP,SP,0,f,5,37
20,nubes,1,L2SP,SP,0,nf,2,37
20,muertes ,1,L2SP,SP,0,f,6,37
20,arboles,1,L2SP,SP,0,f,5,37
20,buzones,1,L2SP,SP,0,nf,4,37
20,calles,1,L2SP,SP,0,f,5,37
20,carnes ,1,L2SP,SP,0,nf,2,37
20,clases,1,L2SP,SP,0,f,5,37
21,lapices,1,L2SP,SP,0,f,5,17
21,jardines,0,L2SP,SP,0,nf,1,17
21,coches,1,L2SP,SP,0,f,5,17
21,paises,1,L2SP,SP,0,f,9,17
21,caries,1,L2SP,SP,0,nf,2,17
21,peines,0,L2SP,SP,0,nf,1,17
21,fuentes,0,L2SP,SP,0,nf,1,17
21,sobres,0,L2SP,SP,0,nf,2,17
21,leches ,1,L2SP,SP,0,f,5,17
21,nubes,0,L2SP,SP,0,nf,1,17
21,muertes ,1,L2SP,SP,0,f,5,17
21,arboles,1,L2SP,SP,0,f,6,17
21,buzones,0,L2SP,SP,0,nf,1,17
21,calles,1,L2SP,SP,0,f,5,17
21,carnes ,0,L2SP,SP,0,nf,1,17
21,clases,0,L2SP,SP,0,f,8,17
22,lapices,1,L2SP,SP,0,f,5,13
22,jardines,1,L2SP,SP,0,nf,1,13
22,coches,1,L2SP,SP,0,f,4,13
22,paises,1,L2SP,SP,0,f,9,13
22,caries,1,L2SP,SP,0,nf,2,13
22,peines,1,L2SP,SP,0,nf,1,13
22,fuentes,0,L2SP,SP,0,nf,1,13
22,sobres,1,L2SP,SP,0,nf,2,13
22,leches ,0,L2SP,SP,0,f,5,13
22,nubes,0,L2SP,SP,0,nf,1,13
22,muertes ,1,L2SP,SP,0,f,5,13
22,arboles,1,L2SP,SP,0,f,6,13
22,buzones,0,L2SP,SP,0,nf,1,13
22,calles,1,L2SP,SP,0,f,5,13
22,carnes ,0,L2SP,SP,0,nf,1,13
22,clases,1,L2SP,SP,0,f,8,13
23,lapices,1,L2SP,SP,0,f,6,16
23,jardines,1,L2SP,SP,0,nf,1,16
23,coches,1,L2SP,SP,0,f,8,16
23,paises,1,L2SP,SP,0,f,6,16
23,caries,1,L2SP,SP,0,nf,1,16
23,peines,1,L2SP,SP,0,nf,1,16
23,fuentes,1,L2SP,SP,0,nf,1,16
23,sobres,1,L2SP,SP,0,nf,1,16
23,leches ,1,L2SP,SP,0,f,3,16
23,nubes,1,L2SP,SP,0,nf,1,16
23,muertes ,1,L2SP,SP,0,f,8,16
23,arboles,1,L2SP,SP,0,f,7,16
23,buzones,1,L2SP,SP,0,nf,1,16
23,calles,1,L2SP,SP,0,f,5,16
23,carnes ,1,L2SP,SP,0,nf,1,16
23,clases,1,L2SP,SP,0,f,5,16
24,lapices,1,L2SP,SP,0,f,4,20
24,jardines,1,L2SP,SP,0,nf,1,20
24,coches,0,L2SP,SP,0,f,5,20
24,paises,0,L2SP,SP,0,f,5,20
24,caries,1,L2SP,SP,0,nf,2,20
24,peines,1,L2SP,SP,0,nf,1,20
24,fuentes,`,L2SP,SP,0,nf,2,20
24,sobres,0,L2SP,SP,0,nf,2,20
24,leches ,0,L2SP,SP,0,f,4,20
24,nubes,0,L2SP,SP,0,nf,1,20
24,muertes ,1,L2SP,SP,0,f,5,20
24,arboles,1,L2SP,SP,0,f,6,20
24,buzones,0,L2SP,SP,0,nf,1,20
24,calles,0,L2SP,SP,0,f,5,20
24,carnes ,0,L2SP,SP,0,nf,1,20
24,clases,0,L2SP,SP,0,f,6,20
25,lapices,0,L2SP,SP,0,f,5,13
25,jardines,0,L2SP,SP,0,nf,2,13
25,coches,0,L2SP,SP,0,f,3,13
25,paises,0,L2SP,SP,0,f,3,13
25,caries,0,L2SP,SP,0,nf,1,13
25,peines,1,L2SP,SP,0,nf,2,13
25,fuentes,1,L2SP,SP,0,nf,2,13
25,sobres,0,L2SP,SP,0,nf,4,13
25,leches ,0,L2SP,SP,0,f,5,13
25,nubes,1,L2SP,SP,0,nf,2,13
25,muertes ,1,L2SP,SP,0,f,5,13
25,arboles,0,L2SP,SP,0,f,6,13
25,buzones,1,L2SP,SP,0,nf,2,13
25,calles,0,L2SP,SP,0,f,6,13
25,carnes ,0,L2SP,SP,0,nf,3,13
25,clases,0,L2SP,SP,0,f,7,13
26,lapices,1,L2SP,SP,0,f,6,16
26,jardines,0,L2SP,SP,0,nf,3,16
26,coches,0,L2SP,SP,0,f,6,16
26,paises,0,L2SP,SP,0,f,6,16
26,caries,1,L2SP,SP,0,nf,2,16
26,peines,1,L2SP,SP,0,nf,1,16
26,fuentes,1,L2SP,SP,0,nf,2,16
26,sobres,1,L2SP,SP,0,nf,2,16
26,leches ,1,L2SP,SP,0,f,4,16
26,nubes,0,L2SP,SP,0,nf,3,16
26,muertes ,0,L2SP,SP,0,f,5,16
26,arboles,0,L2SP,SP,0,f,5,16
26,buzones,0,L2SP,SP,0,nf,2,16
26,calles,1,L2SP,SP,0,f,6,16
26,carnes ,0,L2SP,SP,0,nf,2,16
26,clases,0,L2SP,SP,0,f,5,16
27,lapices,1,L2SP,SP,0,f,7,35
27,jardines,1,L2SP,SP,0,nf,5,35
27,coches,1,L2SP,SP,0,f,8,35
27,paises,1,L2SP,SP,0,f,8,35
27,caries,1,L2SP,SP,0,nf,6,35
27,peines,1,L2SP,SP,0,nf,3,35
27,fuentes,1,L2SP,SP,0,nf,3,35
27,sobres,1,L2SP,SP,0,nf,3,35
27,leches ,1,L2SP,SP,0,f,6,35
27,nubes,1,L2SP,SP,0,nf,2,35
27,muertes ,1,L2SP,SP,0,f,7,35
27,arboles,1,L2SP,SP,0,f,7,35
27,buzones,1,L2SP,SP,0,nf,2,35
27,calles,1,L2SP,SP,0,f,7,35
27,carnes ,1,L2SP,SP,0,nf,3,35
27,clases,1,L2SP,SP,0,f,7,35
28,lapices,0,L2SP,SP,0,f,8,26
28,jardines,0,L2SP,SP,0,nf,2,26
28,coches,1,L2SP,SP,0,f,7,26
28,paises,0,L2SP,SP,0,f,7,26
28,caries,1,L2SP,SP,0,nf,2,26
28,peines,0,L2SP,SP,0,nf,2,26
28,fuentes,1,L2SP,SP,0,nf,3,26
28,sobres,0,L2SP,SP,0,nf,3,26
28,leches ,0,L2SP,SP,0,f,6,26
28,nubes,0,L2SP,SP,0,nf,2,26
28,muertes ,0,L2SP,SP,0,f,6,26
28,arboles,0,L2SP,SP,0,f,7,26
28,buzones,0,L2SP,SP,0,nf,2,26
28,calles,1,L2SP,SP,0,f,7,26
28,carnes ,1,L2SP,SP,0,nf,2,26
28,clases,1,L2SP,SP,0,f,6,26
29,lapices,1,L2SP,SP,0,f,9,20
29,jardines,0,L2SP,SP,0,nf,1,20
29,coches,0,L2SP,SP,0,f,5,20
29,paises,0,L2SP,SP,0,f,5,20
29,caries,0,L2SP,SP,0,nf,1,20
29,peines,1,L2SP,SP,0,nf,1,20
29,fuentes,0,L2SP,SP,0,nf,1,20
29,sobres,0,L2SP,SP,0,nf,1,20
29,leches ,1,L2SP,SP,0,f,4,20
29,nubes,1,L2SP,SP,0,nf,1,20
29,muertes ,1,L2SP,SP,0,f,5,20
29,arboles,1,L2SP,SP,0,f,5,20
29,buzones,1,L2SP,SP,0,nf,1,20
29,calles,1,L2SP,SP,0,f,6,20
29,carnes ,1,L2SP,SP,0,nf,2,20
29,clases,0,L2SP,SP,0,f,6,20
30,lapices,1,L2SP,SP,0,f,6,15
30,jardines,0,L2SP,SP,0,nf,2,15
30,coches,1,L2SP,SP,0,f,6,15
30,paises,1,L2SP,SP,0,f,6,15
30,caries,1,L2SP,SP,0,nf,7,15
30,peines,0,L2SP,SP,0,nf,2,15
30,fuentes,1,L2SP,SP,0,nf,2,15
30,sobres,0,L2SP,SP,0,nf,2,15
30,leches ,0,L2SP,SP,0,f,6,15
30,nubes,0,L2SP,SP,0,nf,2,15
30,muertes ,0,L2SP,SP,0,f,6,15
30,arboles,1,L2SP,SP,0,f,5,15
30,buzones,1,L2SP,SP,0,nf,2,15
30,calles,1,L2SP,SP,0,f,7,15
30,carnes ,0,L2SP,SP,0,nf,2,15
30,clases,0,L2SP,SP,0,f,7,15
1,haoalim,1,L2HB,HB,0,f,7,38
1,heshojliot,1,L2HB,HB,0,nf,2,38
1,ubalim,0,L2HB,HB,0,nf,2,38
1,daltot,0,L2HB,HB,0,nf,2,38
1,psukim,1,L2HB,HB,0,f,7,38
1,dbarim,0,L2HB,HB,0,nf,2,38
1,mehot,1,L2HB,HB,0,f,7,38
1,todot,0,L2HB,HB,0,nf,3,38
1,januyot,0,L2HB,HB,0,nf,2,38
1,matanot,1,L2HB,HB,0,f,7,38
1,yamim,1,L2HB,HB,0,f,2,38
1,mitot,1,L2HB,HB,0,f,7,38
1,shtijim,1,L2HB,HB,0,f,7,38
1,tojniot,1,L2HB,HB,1,nf,2,38
1,sfarim,1,L2HB,HB,1,nf,5,38
1,seratim,1,L2HB,HB,0,f,2,38
2,haoalim,1,L2HB,HB,0,f,3,14
2,heshojliot,0,L2HB,HB,1,nf,1,14
2,ubalim,1,L2HB,HB,1,nf,1,14
2,daltot,1,L2HB,HB,0,nf,2,14
2,psukim,1,L2HB,HB,0,f,3,14
2,dbarim,1,L2HB,HB,0,nf,1,14
2,mehot,1,L2HB,HB,0,f,3,14
2,todot,0,L2HB,HB,0,nf,1,14
2,januyot,1,L2HB,HB,0,nf,2,14
2,matanot,1,L2HB,HB,0,f,3,14
2,yamim,1,L2HB,HB,0,f,1,14
2,mitot,1,L2HB,HB,0,f,5,14
2,shtijim,1,L2HB,HB,0,f,3,14
2,tojniot,1,L2HB,HB,0,nf,1,14
2,sfarim,1,L2HB,HB,0,nf,2,14
2,seratim,0,L2HB,HB,0,f,3,14
3,haoalim,0,L2HB,HB,0,f,2,12
3,heshojliot,1,L2HB,HB,0,nf,3,12
3,ubalim,0,L2HB,HB,0,nf,4,12
3,daltot,0,L2HB,HB,1,nf,2,12
3,psukim,1,L2HB,HB,0,f,4,12
3,dbarim,0,L2HB,HB,1,nf,3,12
3,mehot,1,L2HB,HB,0,f,6,12
3,todot,1,L2HB,HB,0,nf,2,12
3,januyot,0,L2HB,HB,0,nf,5,12
3,matanot,1,L2HB,HB,0,f,3,12
3,yamim,0,L2HB,HB,0,f,3,12
3,mitot,1,L2HB,HB,0,f,7,12
3,shtijim,1,L2HB,HB,0,f,4,12
3,tojniot,1,L2HB,HB,0,nf,3,12
3,sfarim,1,L2HB,HB,0,nf,2,12
3,seratim,1,L2HB,HB,0,f,5,12
4,haoalim,1,L2HB,HB,0,f,6,10
4,heshojliot,1,L2HB,HB,0,nf,4,10
4,ubalim,0,L2HB,HB,1,nf,3,10
4,daltot,0,L2HB,HB,1,nf,3,10
4,psukim,1,L2HB,HB,0,f,5,10
4,dbarim,1,L2HB,HB,0,nf,4,10
4,mehot,1,L2HB,HB,0,f,7,10
4,todot,1,L2HB,HB,0,nf,4,10
4,januyot,0,L2HB,HB,0,nf,4,10
4,matanot,1,L2HB,HB,0,f,4,10
4,yamim,1,L2HB,HB,0,f,3,10
4,mitot,1,L2HB,HB,0,f,6,10
4,shtijim,0,L2HB,HB,0,f,5,10
4,tojniot,1,L2HB,HB,0,nf,3,10
4,sfarim,0,L2HB,HB,0,nf,4,10
4,seratim,1,L2HB,HB,0,f,4,10
5,haoalim,1,L2HB,HB,0,f,5,24
5,heshojliot,0,L2HB,HB,1,nf,2,24
5,ubalim,1,L2HB,HB,1,nf,4,24
5,daltot,0,L2HB,HB,0,nf,1,24
5,psukim,1,L2HB,HB,0,f,4,24
5,dbarim,0,L2HB,HB,0,nf,3,24
